NCBITaxon_65351,Lepidium campestre,,,FOODON_03317408,"fats and oils, nonemulsified",,,,,,,NCBITaxon_65351,Lepidium campestre
NCBITaxon_37176,Ovibos moschatus,,,NCBITaxon_65351,Lepidium campestre,,,,,,,NCBITaxon_37176,Ovibos moschatus
BFO_0000002,continuant,,,FOODON_03305665,imitation ice cream mix,,,,,,,BFO_0000002,continuant
CHEBI_23341,cobamides,,,FOODON_03316922,egg white mass (quick-frozen),,,,,,,CHEBI_23341,cobamides
NCBITaxon_37052,Ardenna grisea,,,FOODON_03540762,07620 - sea lettuce (efsa foodex2),,,,,,,NCBITaxon_37052,Ardenna grisea
CHEBI_67265,beta-diketone,,,FOODON_03544204,42040 - blackberry flavour (efsa foodex2),,,,,,,CHEBI_67265,beta-diketone
hancestro_0402,Caymanian,,,FOODON_03310988,peanut flour-coated,,,,,,,hancestro_0402,Caymanian
NCBITaxon_3908,Vicia sativa,,,FOODON_03540845,08450 - salad burnet (efsa foodex2),,,,,,,NCBITaxon_3908,Vicia sativa
NCBITaxon_271942,Trachurus novaezelandiae,,,FOODON_03308354,rock lobster tail (frozen),,,,,,,NCBITaxon_271942,Trachurus novaezelandiae
NCBITaxon_134615,Alepocephalidae,,,NCBITaxon_271942,Trachurus novaezelandiae,,,,,,,NCBITaxon_134615,Alepocephalidae
NCBITaxon_4675,Curculigo,,,FOODON_03304535,second clears,,,,,,,NCBITaxon_4675,Curculigo
CHEBI_26079,phosphoric acid derivative,,,GAZ_00005246,Pakistan,,,,,,,CHEBI_26079,phosphoric acid derivative
NCBITaxon_443792,Lotella rhacina,,,FOODON_03544437,44370 - glazing agent (efsa foodex2),,,,,,,NCBITaxon_443792,Lotella rhacina
CHEBI_15674,"2,3-dihydroxybutanedioic acid",,,FOODON_03542601,26010 - insects and arachnids (including species only consumed outside eu) (efsa foodex2),,,,,,,CHEBI_15674,"2,3-dihydroxybutanedioic acid"
CHEBI_22390,alpha-D-glucoside,,,FOODON_03413408,canihua plant (food source),,,,,,,CHEBI_22390,alpha-D-glucoside
NCBITaxon_102976,Euphausia pacifica,,,FOODON_03303013,turkey pot pie (frozen),,,,,,,NCBITaxon_102976,Euphausia pacifica
NCBITaxon_205567,Solanum muricatum,,,FOODON_03541203,12030 - pima cotton seeds (efsa foodex2),,,,,,,NCBITaxon_205567,Solanum muricatum
NCBITaxon_117924,Centrophoridae,,,FOODON_03543014,"30140 - honey, blended (efsa foodex2)",,,,,,,NCBITaxon_117924,Centrophoridae
PATO_0002300,increased quality,,,NCBITaxon_205567,Solanum muricatum,,,,,,,PATO_0002300,increased quality
NCBITaxon_183652,Peprilus,,,FOODON_03301911,"beverage (nonalcoholic, naturally effervescent)",,,,,,,NCBITaxon_183652,Peprilus
NCBITaxon_99038,Glebionis coronaria,,,NCBITaxon_183652,Peprilus,,,,,,,NCBITaxon_99038,Glebionis coronaria
hancestro_0314,Sorbian,,,FOODON_03317582,sage derby cheese,,,,,,,hancestro_0314,Sorbian
NCBITaxon_81953,Agamidae,,,FOODON_03303126,"pineapple (immature, raw)",,,,,,,NCBITaxon_81953,Agamidae
NCBITaxon_26468,Loganiaceae,,,FOODON_03540847,08470 - maori dock (efsa foodex2),,,,,,,NCBITaxon_26468,Loganiaceae
NCBITaxon_8007,Esociformes,,,FOODON_03401398,50340000 - nuts/seeds - unprepared/unprocessed (shelf stable) (gs1 gpc),,,,,,,NCBITaxon_8007,Esociformes
CHEBI_51082,nitrate salt,,,FOODON_03400756,055  dried fruits (df) (ccpr),,,,,,,CHEBI_51082,nitrate salt
NCBITaxon_38851,Gentiana lutea,,,CHEBI_51082,nitrate salt,,,,,,,NCBITaxon_38851,Gentiana lutea
NCBITaxon_7848,Lamna,,,FOODON_03310597,onion flake (dried),,,,,,,NCBITaxon_7848,Lamna
NCBITaxon_22063,Monimiaceae,,,NCBITaxon_38851,Gentiana lutea,,,,,,,NCBITaxon_22063,Monimiaceae
NCBITaxon_3511,Quercus,,,FOODON_03414355,tankan mandarin plant (food source),,,,,,,NCBITaxon_3511,Quercus
NCBITaxon_360519,Metanephrops thomsoni,,,FOODON_03414840,blue mallee plant (food source),,,,,,,NCBITaxon_360519,Metanephrops thomsoni
NCBITaxon_111111,Melophorus,,,FOODON_03301469,bouillon cube,,,,,,,NCBITaxon_111111,Melophorus
NCBITaxon_303943,Carcharhinus signatus,,,FOODON_03401688,10005833 - beef sausages - prepared/processed (gs1 gpc),,,,,,,NCBITaxon_303943,Carcharhinus signatus
CHEBI_48857,sulfite salt,,,FOODON_03305888,crabapple jelly,,,,,,,CHEBI_48857,sulfite salt
NCBITaxon_42892,Engraulis japonicus,,,NCBITaxon_303943,Carcharhinus signatus,,,,,,,NCBITaxon_42892,Engraulis japonicus
UO_0010030,gallon,,,FOODON_03401873,10005915 - plumcots (gs1 gpc),,,,,,,UO_0010030,gallon
PATO_0000384,male,,,FOODON_03303853,gruenland cheese,,,,,,,PATO_0000384,male
NCBITaxon_662062,Paratrachichthys trailli,,,FOODON_00001577,akee fruit food product,,,,,,,NCBITaxon_662062,Paratrachichthys trailli
CHEBI_2877,aspartame,,,FOODON_03316752,cheese (gudbrandsdalsost),,,,,,,CHEBI_2877,aspartame
NCBITaxon_99302,Strychnos spinosa,,,ancestro_0416,Montserratian,,,,,,,NCBITaxon_99302,Strychnos spinosa
NCBITaxon_41711,Osmeriformes,,,FOODON_03302995,camembert cheese,,,,,,,NCBITaxon_41711,Osmeriformes
CHEBI_36359,phosphorus oxoacid derivative,,,FOODON_03412421,chinese kale plant (food source),,,,,,,CHEBI_36359,phosphorus oxoacid derivative
CHEBI_37586,sodium phosphate,,,FOODON_03401619,10005767 - beef - prepared/processed (gs1 gpc),,,,,,,CHEBI_37586,sodium phosphate
NCBITaxon_1110380,Polygonoideae,,,FOODON_00002248,sockeye salmon food product,,,,,,,NCBITaxon_1110380,Polygonoideae
NCBITaxon_558553,Crassostrea angulata,,,FOODON_03540461,04610 - water mimosas (efsa foodex2),,,,,,,NCBITaxon_558553,Crassostrea angulata
NCBITaxon_33129,Phaseolus acutifolius,,,FOODON_03510075,rich in fiber claim or use,,,,,,,NCBITaxon_33129,Phaseolus acutifolius
NCBITaxon_191678,Lophius budegassa,,,FOODON_03304722,egg white (frozen),,,,,,,NCBITaxon_191678,Lophius budegassa
NCBITaxon_428033,Atheresthes,,,FOODON_03306765,coconut cream pie,,,,,,,NCBITaxon_428033,Atheresthes
CHEBI_35875,imidazopyrimidine,,,FOODON_03415159,forking larkspur plant (food source),,,,,,,CHEBI_35875,imidazopyrimidine
NCBITaxon_81641,Lotidae,,,FOODON_03310701,bluefin tuna (canned),,,,,,,NCBITaxon_81641,Lotidae
NCBITaxon_165789,Capsicum annuum var. glabriusculum,,,FOODON_03303517,pasteurized process cheese food,,,,,,,NCBITaxon_165789,Capsicum annuum var. glabriusculum
CHEBI_24860,iodine molecular entity,,,FOODON_03414203,blessed milkthistle plant (food source),,,,,,,CHEBI_24860,iodine molecular entity
NCBITaxon_3602,Vitaceae,,,FOODON_03543652,"36520 - angelica root, dry (efsa foodex2)",,,,,,,NCBITaxon_3602,Vitaceae
NCBITaxon_8245,Xiphias gladius,,,FOODON_03307557,sugar and invert sugar syrup,,,,,,,NCBITaxon_8245,Xiphias gladius
NCBITaxon_7832,Echinorhinidae,,,FOODON_03420255,"organ meat, other systems",,,,,,,NCBITaxon_7832,Echinorhinidae
NCBITaxon_118175,Nettastomatidae,,,FOODON_03540628,06280 - lentils and similar- (efsa foodex2),,,,,,,NCBITaxon_118175,Nettastomatidae
UBERON_0007010,cleaving embryo,,,FOODON_03541662,16620 - ambarellas (efsa foodex2),,,,,,,UBERON_0007010,cleaving embryo
NCBITaxon_102876,Eledone cirrhosa,,,FOODON_03309795,tomato catsup substitute (sweetened with honey),,,,,,,NCBITaxon_102876,Eledone cirrhosa
NCBITaxon_4567,Triticum turgidum subsp. durum,,,FOODON_03311568,nata de coco (deprecated),,,,,,,NCBITaxon_4567,Triticum turgidum subsp. durum
